,L2,H1,H2,Energy
0,0.00028854640842673946,0.002014805612782781,0.02494602665289512,0.022996105523134015
1,0.0001289359687562646,0.0009008745099255642,0.0148818354803033,0.014002255488547841
2,4.7132095634497136e-05,0.0003058106743787314,0.007980716366917143,0.007679263766563801
3,1.4115214123489638e-05,9.016259415794095e-05,0.004126021557911914,0.004036575377634288
4,3.829102186257393e-06,2.432620911649862e-05,0.0020921090230219147,0.0020678844012359853
5,9.92015496947944e-07,6.27810486328945e-06,0.0010514036472100425,0.0010451389103876974
0,0.08116200743515263,0.6036209385427721,4.2076679970575555,0.5237005348613987
1,0.015495442416120818,0.21023642846308213,6.301799204571027,0.20404598832633092
2,0.006673427090824976,0.08625160782875271,10.022118742411523,0.1272982027413054
3,0.0073300069672495435,0.06841415547894261,10.495172735697244,0.1208428841447198
4,0.005200933581373484,0.04861878212920972,7.927565236987699,0.08996048741739654
5,0.002312817543956101,0.02475659649574262,5.2573187963719805,0.05693587560751148
0,0.09151590804067528,0.6476733549691869,4.248722447148494,0.5561575635101853
1,0.020481293898322685,0.2448800194591765,3.019843749304409,0.2243988971398309
2,0.003940510698571902,0.08155351198375395,2.0609198481532003,0.0776132536839205
3,0.00075294791097571,0.027009208770025266,1.4112156603676393,0.02625662572710866
4,0.00012090998328323666,0.009120109896557935,0.9792968292996374,0.008999722857274664
5,7.422733015854659e-05,0.0032423793124961367,0.6876835599670161,0.003168891222570974
0,0.09162650657272117,0.6480437984459598,4.250081116531503,0.5564172918848977
1,0.02055262874513598,0.24505897219082623,3.0209602319954896,0.22450634346285153
2,0.004009633119855181,0.08166057000315582,2.061785475564391,0.07765093690854757
3,0.0008254700810227343,0.02709002837038044,1.4116688489845228,0.026264558325852866
4,0.00018278237031615693,0.00916876576067736,0.9781767383852521,0.00898598344260793
5,4.2181489682664204e-05,0.0031577878106984173,0.6839599411621138,0.0031156063953979947
0,0.09162761329784619,0.6480475048010166,4.250094708629987,0.5564198915031715
1,0.020553344369582387,0.24506076881191352,3.020971417600343,0.22450742444233285
2,0.004010333102803681,0.08166166712095198,2.061794414994053,0.07765133401815082
3,0.0008262305333097407,0.027090930472585,1.4116757816002705,0.02626469993927891
4,0.00018359383801518363,0.00916962599837195,0.9781819144734646,0.008986032160361989
5,4.302169906656831e-05,0.0031586406108436212,0.6839630337358648,0.003115618911784491
