=======Arguments=======
penalty:	False
tol:	1e-11
element_type:	P1
solver_type:	mgcg
tol:	1e-11
intorder:	8
refine_time:	7
sigma:	5
=======Results=======
epsilion: 1
  h    L2u   H1u   H2u   epu
2^-2  1.68  1.29  0.62  0.55
2^-2  5.542e-03  3.168e-02  4.029e-01  3.721e-01
2^-3  1.67  1.42  0.66  0.61
2^-3  1.746e-03  1.186e-02  2.550e-01  2.434e-01
2^-4  1.64  1.49  0.67  0.64
2^-4  5.610e-04  4.233e-03  1.605e-01  1.563e-01
2^-5  1.59  1.50  0.67  0.65
2^-5  1.865e-04  1.495e-03  1.010e-01  9.956e-02
2^-6  1.52  1.50  0.67  0.66
2^-6  6.486e-05  5.299e-04  6.367e-02  6.314e-02
2^-7  1.45  1.48  0.67  0.66
2^-7  2.367e-05  1.898e-04  4.013e-02  3.994e-02
epsilion: 0.1
  h    L2u   H1u   H2u   epu
2^-2  2.14  1.78  0.88  1.19
2^-2  4.085e-03  2.899e-02  4.233e-01  4.664e-02
2^-3  1.84  1.60  0.75  0.86
2^-3  1.143e-03  9.577e-03  2.515e-01  2.562e-02
2^-4  1.73  1.51  0.67  0.70
2^-4  3.451e-04  3.367e-03  1.584e-01  1.579e-02
2^-5  1.69  1.50  0.66  0.66
2^-5  1.072e-04  1.188e-03  1.004e-01  9.977e-03
2^-6  1.63  1.50  0.66  0.66
2^-6  3.469e-05  4.186e-04  6.347e-02  6.317e-03
2^-7  1.55  1.50  0.66  0.66
2^-7  1.183e-05  1.478e-04  4.007e-02  3.994e-03
epsilion: 0.01
  h    L2u   H1u   H2u   epu
2^-2  2.37  1.58  0.60  1.45
2^-2  3.918e-03  4.065e-02  6.319e-01  3.720e-02
2^-3  2.47  1.62  0.64  1.51
2^-3  7.075e-04  1.319e-02  4.047e-01  1.308e-02
2^-4  2.31  1.73  0.78  1.55
2^-4  1.423e-04  3.981e-03  2.353e-01  4.482e-03
2^-5  1.82  1.87  0.96  1.49
2^-5  4.025e-05  1.089e-03  1.208e-01  1.591e-03
2^-6  1.66  1.79  0.89  1.15
2^-6  1.270e-05  3.144e-04  6.530e-02  7.165e-04
2^-7  1.78  1.62  0.71  0.81
2^-7  3.690e-06  1.022e-04  3.987e-02  4.097e-04
epsilion: 0.001
  h    L2u   H1u   H2u   epu
2^-2  2.37  1.57  0.58  1.45
2^-2  3.947e-03  4.124e-02  6.429e-01  3.729e-02
2^-3  2.46  1.56  0.57  1.49
2^-3  7.151e-04  1.395e-02  4.335e-01  1.325e-02
2^-4  2.45  1.55  0.56  1.51
2^-4  1.309e-04  4.776e-03  2.938e-01  4.654e-03
2^-5  2.38  1.54  0.56  1.52
2^-5  2.516e-05  1.639e-03  1.986e-01  1.626e-03
2^-6  2.22  1.57  0.60  1.53
2^-6  5.398e-06  5.527e-04  1.310e-01  5.627e-04
2^-7  1.88  1.67  0.73  1.57
2^-7  1.463e-06  1.737e-04  7.904e-02  1.894e-04
epsilion: 0.0001
  h    L2u   H1u   H2u   epu
2^-2  2.37  1.57  0.58  1.45
2^-2  3.948e-03  4.124e-02  6.430e-01  3.729e-02
2^-3  2.46  1.56  0.57  1.49
2^-3  7.152e-04  1.396e-02  4.338e-01  1.325e-02
2^-4  2.45  1.54  0.56  1.51
2^-4  1.308e-04  4.788e-03  2.947e-01  4.658e-03
2^-5  2.39  1.53  0.55  1.51
2^-5  2.497e-05  1.657e-03  2.013e-01  1.632e-03
2^-6  2.29  1.52  0.54  1.51
2^-6  5.089e-06  5.762e-04  1.381e-01  5.713e-04
2^-7  2.19  1.52  0.54  1.51
2^-7  1.116e-06  2.009e-04  9.509e-02  2.000e-04
epsilion: 1e-05
  h    L2u   H1u   H2u   epu
2^-2  2.37  1.57  0.58  1.45
2^-2  3.948e-03  4.124e-02  6.430e-01  3.729e-02
2^-3  2.46  1.56  0.57  1.49
2^-3  7.152e-04  1.396e-02  4.338e-01  1.325e-02
2^-4  2.45  1.54  0.56  1.51
2^-4  1.308e-04  4.788e-03  2.947e-01  4.658e-03
2^-5  2.39  1.53  0.55  1.51
2^-5  2.496e-05  1.657e-03  2.014e-01  1.632e-03
2^-6  2.30  1.52  0.54  1.51
2^-6  5.086e-06  5.764e-04  1.382e-01  5.714e-04
2^-7  2.19  1.52  0.54  1.51
2^-7  1.112e-06  2.013e-04  9.531e-02  2.002e-04
======= Errors saved in: log/ex4_P1_nopen_2021-02-22_00-12-40.csv ==========
Total Time Cost 626.95 s
