,L2,H1,H2,Energy,,,
0,0.017764661,0.077504399,0.620398896,0.546171466,,,
1,0.005542123,0.03168374,0.402860774,0.372096459,,,
2,0.001745731,0.011859459,0.255030196,0.243380966,,,
3,0.000561034,0.004232603,0.160498067,0.156308591,,,
4,0.000186519,0.00149507,0.101048117,0.099561647,,,
5,6.49E-05,0.000529894,0.063668584,0.063140402,,,
6,2.37E-05,0.000189738,0.040130063,0.03994067,,,
,,,,,,,
,0,1,2,3,4,5,6
L2,0.017764661,0.005542123,0.001745731,0.000561034,0.000186519,6.49E-05,2.37E-05
H1,0.077504399,0.03168374,0.011859459,0.004232603,0.00149507,0.000529894,0.000189738
H2,0.620398896,0.402860774,0.255030196,0.160498067,0.101048117,0.063668584,0.040130063
Energy,0.546171466,0.372096459,0.243380966,0.156308591,0.099561647,0.063140402,0.03994067
,,,,,,,
$h$,$2^{-1}$,$2^{-2}$,$2^{-3}$,$2^{-4}$,$2^{-5}$,$2^{-6}$,$2^{-7}$
$\left\|u^0-u_{h}\right\|_{0}$,1.780E-02,5.540E-03,1.750E-03,5.610E-04,1.870E-04,6.490E-05,2.370E-05
,$-$,1.68,1.67,1.64,1.59,1.52,1.46
"$\left|u^0-u_{h}\right|_{1,h}$",7.750E-02,3.170E-02,1.190E-02,4.230E-03,1.500E-03,5.300E-04,1.900E-04
,$-$,1.29,1.42,1.49,1.50,1.50,1.48
"$\left|u^0-u_{h}\right|_{2,h}$",6.200E-01,4.030E-01,2.550E-01,1.610E-01,1.010E-01,6.370E-02,4.010E-02
,$-$,0.62,0.66,0.67,0.67,0.67,0.67
"$\left\|u^0-u_{h}\right\|_{\varepsilon,h}$",5.460E-01,3.720E-01,2.430E-01,1.560E-01,9.960E-02,6.310E-02,3.990E-02
,$-$,0.55,0.61,0.64,0.65,0.66,0.66
