,L2,H1,H2,Energy,,
0,0.064413757,0.483410575,6.368294413,0.418996818,,
1,0.007343847,0.129322016,3.433148432,0.121978169,,
2,0.000717394,0.033429151,1.761944351,0.032711757,,
3,7.56E-05,0.008444729,0.881139418,0.008369089,,
4,8.79E-06,0.002110957,0.430809159,0.002102165,,
5,9.93E-07,0.000511737,0.19493768,0.000510744,,
,,,,,,
,0,1,2,3,4,5
L2,0.064413757,0.007343847,0.000717394,7.56E-05,8.79E-06,9.93E-07
H1,0.483410575,0.129322016,0.033429151,0.008444729,0.002110957,0.000511737
H2,6.368294413,3.433148432,1.761944351,0.881139418,0.430809159,0.19493768
Energy,0.418996818,0.121978169,0.032711757,0.008369089,0.002102165,0.000510744
,,,,,,
$h$,$2^{-1}$,$2^{-2}$,$2^{-3}$,$2^{-4}$,$2^{-5}$,$2^{-6}$
$\left\|u^N-u_{h}\right\|_{0}$,6.441E-02,7.344E-03,7.174E-04,7.564E-05,8.792E-06,9.933E-07
,$-$,3.13,3.36,3.25,3.10,3.15
"$\left|u^N-u_{h}\right|_{1,?h}$",4.834E-01,1.293E-01,3.343E-02,8.445E-03,2.111E-03,5.117E-04
,$-$,1.90,1.95,1.98,2.00,2.04
"$\left|u^N-u_{h}\right|_{2,?h}$",6.368E+00,3.433E+00,1.762E+00,8.811E-01,4.308E-01,1.949E-01
,$-$,0.89,0.96,1.00,1.03,1.14
"$\left\|u^N-u_{h}\right\|_{\varepsilon,?h}$",4.190E-01,1.220E-01,3.271E-02,8.369E-03,2.102E-03,5.107E-04
,$-$,1.78,1.90,1.97,1.99,2.04
