,L2,H1,H2,Energy
0,0.25504744359594245,1.8710328185340577,11.417474355933475,1.6159853749381152
1,0.0763057485264863,1.0647859777448723,13.094180221855973,0.9884802292183859
2,0.025757203486227263,0.6781027090550608,18.065865446404086,0.6523455055688335
3,0.00905086450606484,0.4637980978067125,25.426899525596017,0.45474723330064765
4,0.003188631507577491,0.32398304394385347,35.801280553946214,0.320794412436276
5,0.0011243192307484181,0.22787008224748923,50.469101414723326,0.22674576301674082
6,0.0003968403479904761,0.1607186242711735,71.23809720758406,0.16032178392318303
0,0.25504744359594245,1.8710328185340577,11.417474355933475,1.6159853749381152
1,0.0763057485264863,1.0647859777448723,13.094180221855973,0.9884802292183859
2,0.025757203486227263,0.6781027090550608,18.065865446404086,0.6523455055688335
3,0.00905086450606484,0.4637980978067125,25.426899525596017,0.45474723330064765
4,0.003188631507577491,0.32398304394385347,35.801280553946214,0.320794412436276
5,0.0011243192307484181,0.22787008224748923,50.469101414723326,0.22674576301674082
6,0.0003968403479904761,0.1607186242711735,71.23809720758406,0.16032178392318303
